Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Category,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,2021 ENERGY STAR Score,2021 Site EUI (kBtu/ft2),2021 Source EUI (kBtu/ft2),2021 Percent Better than National Median Site EUI,2021 Weather Normalized Site EUI (kBtu/ft2),2021 Weather Normalized Source EUI (kBtu/ft2),2021 Total GHG Emissions (Metric Tons CO2e),2021 Total GHG Emissions Intensity (kGCO2e/ft2) ,2021 Electricity Use - Grid Purchase (kWh),2021 Natural Gas Use (kBtu), 2021 District Steam Use (kBtu) ,2021 Site Energy Use (kBtu),2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2020 Total GHG Emissions (Metric Tons CO2e),2020 Total GHG Emissions Intensity (kGCO2e/ft2) ,2020 Electricity Use - Grid Purchase (kWh),2020 Natural Gas Use (kBtu),2020 District Steam Use (kBtu) ,2020 Site Energy Use (kBtu),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2019 Total GHG Emissions (Metric Tons CO2e),2019 Total GHG Emissions Intensity (kGCO2e/ft2) ,2019 Electricity Use - Grid Purchase (kWh),2019 Natural Gas Use (kBtu),2019 District Steam Use (kBtu) ,2019 Site Energy Use (kBtu),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2018 Total GHG Emissions (Metric Tons CO2e),2018 Total GHG Emissions Intensity (kGCO2e/ft2) ,2018 Electricity Use - Grid Purchase (kWh),2018 Natural Gas Use (kBtu),2018 District Steam Use (kBtu),2018 Site Energy Use (kBtu),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2021 Benchmark Status,2021 Reason for Exemption,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption
0240/007,580 California Street,580 CALIFORNIA ST,94104,364985,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0240/007,1984,04/01/2026,,,34.8,75.6,-52.1,35.2,75.9,237.3,0.7,2319401.7,4467836.7,,12381636.4,,38,85.4,-50.3,39.6,87,839.3,2.4,2703710.4,4288394.3,,13513455.4,84,51,113.7,-43.5,51.8,114.5,313.5,0.9,3580055.1,5902652,,18117801.6,83,52.2,116.8,-39.5,52.2,116.9,317.8,0.9,3686266.4,5983801.6,,18561344,93,53.6,131,-49.8,54.3,131.7,91,56.1,137,-46.8,-46.8,57.4,138.4,91,53.2,136.8,-47,53.8,137.4,89,55.6,141,-43.3,56.1,140.3,89,55.3,137.6,-44.4,55.4,137.699999999999,88,59.3,152.4,-42.8,58.7,151.699999999999,87,62,,-3.2,61,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0240/016,530 KEARNY ST,550 KEARNY ST,94108,237905,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0240/016,1975,04/01/2021,,,22.1,46.9,-68.4,22.8,47.6,280.8,1.3,872649.9,1893538,,4871019.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,44.9,103.9,-56.3,46.7,105.8,96,41.5,100.8,-57,-57,43.9,103.4,96,40.3,101.6,-57,40,100.8,93,49,112.8,-51.4,50.5,114.4,94,49.4,112.5,-52.5,49.4,112.5,,,,,,,,,,,,,2021 - Complied,,2020 - Violation - Insufficient Data,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Change in Ownership,Exempt,Financial Distress
0240/020,190480 550 California Street,550 CALIFORNIA ST,94104,474118,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0240/020,1960,04/01/2024,,86,66.5,115.9,-44.3,67.9,117.4,1503.8,3.7,3113646,16207400.5,,26831162,,54.5,110,-46.9,59.8,115.6,1327.4,3.3,3569786.4,9789999.6,,21970112.2,78,65.1,129.7,-34.5,68.1,132.8,1417.4,4.1,3580052.5,10485400.2,,22700540.6,62,73.1,146.8,-20.7,72.2,145.9,1522,4.6,3901922.6,10999100.3,,24312461.7,71,67.8,145,-25,65.3,149.5,82,64.4,153.2,-33.2,-33.2,68.6,157.6,77,71.5,168.7,-28,74.9,172.2,76,67.2,169.6,-26.3,71.7,174.3,84,61.4,150.699999999999,-35.7,61.8,151,82,68.0999999999999,158.5,-32.9,67,157.4,86,77.9,,-38.1,76.1,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0241/014,616 GRANT AVE,616 GRANT AVE,94108,13884,Commercial,Retail Store,https://sfplanninggis.org/PIM/?tab=Property&search=0241/014,1900,04/01/2025,,91,11,30.7,-45.2,11,30.7,9.2,0.7,44635.5,,,152296.5,,8.8,24.8,-57.6,8.8,24.8,8.1,0.6,35993.5,,,122809.9,43,22.2,62,6.7,22.2,62,21.7,1.6,90154.6,,,307607.7,37,22.2,62.1,13.5,22.2,62.1,21.7,1.6,90255.6,,,307952.1,43,22,61.5,6.4,22,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
0241/025,650 California Street,650 CALIFORNIA ST,94108,567653,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0241/025,1963,04/01/2026,Upcoming,73,56.9,106.3,-28.8,57.9,107.4,1995.8,3.6,3800656.7,,18238088.5,31205930.7,,56,110.6,-45.3,59.9,115.3,2036.7,3.7,4346985.6,,15865002.9,30696919.7,,,,,,,,,,,,,89,57.2,117.3,-35,57.2,117.3,2224,3.9,5053141.5,,15204108.3,32445429,92,64.2,132.4,-47.8,64.2,132.4,85,61.9,134.1,-38.4,-38.4,64.1,136.7,83,60.5,142.7,-36,62,144.5,86,50.8,131.7,-39.7,53,134.4,86,52.3,135,-39.4,52.5,135.199999999999,87,56.7,153.3,-40.6,55.3,151.699999999999,87,57.1,,-39.7,55.3,,2021 - Complied,,2020 - Complied,,2019 - Violation - Insufficient Data,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0241/027,Columbia 600 California Office Properties,600 CALIFORNIA ST,94108,498740,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0241/027,1991,04/01/2026,,97,28.3,68.6,-64.9,28.8,69.1,664.6,1.7,2597549.1,2414048.1,,11276886.7,,28.6,71.4,-68.3,29.8,72.8,729.2,1.8,2766181.6,1949207.8,,11387420.6,97,39.7,100.2,-64.2,40.3,100.8,1015.7,2.5,3909226.6,2475172,,15813454.7,90,47.5,121.4,-49.6,47.4,121.3,1287.8,3.2,4777486.1,2626693.9,,18927478.4,85,60.2,175.1,-37.5,61.5,176.5,77,61.7,179,-27.3,-27.3,61.4,177.9,79,59.1,174.5,,59.5,174.9,81,62.2,185.1,-32.6,63.1,185.9,77,72,211.6,-27.7,72.0999999999999,211.7,88,75,235,-34.5,75.4,236.8,88,75.2,,-34.7,74.7,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0242/001,665 GRANT AVE,665 GRANT AVE,94108,10114,Commercial,Mixed Use Property,https://sfplanninggis.org/PIM/?tab=Property&search=0242/001,1908,04/01/2025,,,11.2,27.8,-68.9,11.4,28,6.7,0.7,27180.4,20245,,112984.6,,9.2,24.3,-72.8,9.2,24.3,6.1,0.6,24767.2,8500,,93005.8,,19.6,48.4,-45.8,21.2,50,13.3,1.3,47027.1,37993,,198449.6,,19.7,48.4,-45.8,19.6,48.3,13.4,1.3,46956.1,39138,,199352.4,,19.7,48.9,-45.3,20.5,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
0242/002,Far East Cafe,631 GRANT AVE,94108,18906,Commercial,Other - Restaurant/Bar,https://sfplanninggis.org/PIM/?tab=Property&search=0242/002,1908,04/01/2023,Upcoming,,89.9,138.5,-75.9,89.9,138.5,93.8,5,139578.7,1224000,,1700242.5,,87.6,130.2,-77.3,87.6,130.2,93.4,4.9,120993.6,1243028,,1655858.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,138.6,-6.4,43.5,136.5,,304.399999999999,440.4,1.9,304.399999999999,440.4,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Insufficient Data,
0242/005,Charles Dunn - 720 California Street,720 CALIFORNIA ST,94108,92065,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0242/005,1926,04/01/2025,,,51.7,110.6,-50.8,51.7,110.6,241.9,3,765296.5,1579485.9,,4190678,,66.2,134,-41.6,70.9,138.9,324.4,4,875542.6,2379734.4,,5367086.1,67,88.2,180.1,-21.6,90.2,182.2,449.9,5.6,1188789.3,3091992.2,,7148141.7,64,89.3,184.1,-17.3,88.9,183.9,456.9,5.6,1226357.8,3052095.3,,7236428.5,66,84.9,183,-20.1,86.5,184.7,72,84.1,202.4,-23.7,-23.7,87.3,205.8,85,79.7,194.9,-38,81.2,195.6,86,74.6,186.6,-40,79.5,191.7,83,78.5999999999999,201.2,-36.1,78.9,201.6,77,96,246,-28.3,95,245,79,91.6,,-30.3,91.6,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0242/027,YMCA Chinatown,855 SACRAMENTO ST,94108,50212,Commercial,Other,https://sfplanninggis.org/PIM/?tab=Property&search=0242/027,1925,04/01/2024,,,80.8,134,50.1,82.4,135.6,226,4.5,412890.9,2649999.2,,4058783,,80,136.5,52.9,85.5,142.2,233.3,4.6,440767.5,2515003,,4018901.9,,89.2,163.9,83.6,92.2,167.1,264.6,5.3,590560.9,2465934.4,,4480928.6,,92.9,167.7,87.8,92.2,167,282.5,5.6,591461.9,2645399.9,,4663468.3,,40.9,128.3,4.2,40.9,128.3,,42.6,133.9,8.7,8.7,42.6,133.9,,44.4,139.3,13,43.8,137.4,,43.4,136.1,10.6,42.5,133.5,,43.9,137.9,12,43.9,137.699999999999,,190.2,385.3,297.899999999999,187,383.9,,43,,13.1,43,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0242/055,601 GRANT AVE,615 GRANT AVE,94108,19108,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0242/055,1907,04/01/2027,,100,7.2,20.1,-78.4,7.2,20.1,8.3,0.4,40112.8,0,,136864.9,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,54.1,-40.2,21.9,53.8,26.9,1.4,98671,86579.3,,423244.7,,,,,,,30,54.5,150.3,26.1,26.1,54.5,150.3,,51.6,158.2,38,51.6,158.2,,47.7,147,28.5,47.7,147,,50.2,154.5,35,50.3,154.5,,,,,,,,,,,,,2021 - Complied,,2020 - Violation - Insufficient Data,,2019 - Violation - Insufficient Data,,2018 - Complied,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0254/024,The Huntington Hotel,1075 California St,94108,143673,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0254/024,1924,04/01/2020,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,
0242/056,601 GRANT AVE,601 GRANT AVE,94108,19108,Commercial,Restaurant,https://sfplanninggis.org/PIM/?tab=Property&search=0242/056,1907,04/01/2025,,,40.4,70.7,-87.7,40.4,70.7,43.3,2.3,90419.6,463404,,771915.7,,40.3,68.4,-88.1,40.3,68.4,44.6,2.3,83641,484238,,769621.1,,111.3,166.5,-71,108.5,163.5,122.4,6.4,158620.9,1585993,,2127207.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year
0243/024,151 JOICE ST,151 JOICE ST,94108,220000,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0243/024,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0243/038,840 POWELL ST,840 POWELL ST,94108,61055,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0243/038,1914,,,,44.3,63.1,-46.6,45.2,64,123.9,2.4,141957.9,1780156,,2264516.5,,45.5,67,-43.2,50.8,73.1,131,2.6,165164.7,1762471,,2326013,,46.5,67.8,-42.6,49.5,71.2,133.7,2.6,162233.2,1826011,,2379550.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Exempt,PG&E will not provide data,,,,,,,,,,,,,,
0243/058,901 SACRAMENTO ST,901 SACRAMENTO ST,94108,220000,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0243/058,1982,,,,,,,,,,,,,,,,28.2,56.4,-29.8,29.4,59.8,374.3,1.7,985467.2,2849840.9,,6212255.4,90,30.2,57.7,-29.9,30.8,59.2,409.6,1.9,955102.1,3390175.1,,6648983.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Complied,,2018 - Exempt,PG&E will not provide data,,,,,,,,,,,,,,
0243/059,850 POWELL ST,850 POWELL ST,94108,130109,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0243/059,1978,,,100,30.2,43.6,-54.7,30.9,44.4,196.4,1.7,235093.4,2784184.1,,3586323.1,,35.1,51.6,-46.9,41.9,59.2,211.5,2,264170.4,2856675.8,,3758025.3,,35.3,51.2,-48.4,39.1,55.4,212,2,253532.6,2911617,,3776670.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0244/001,Fairmont Hotel - San Francisco,950 Mason St,94108,804136,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0244/001,1962,04/01/2024,Upcoming,90,70.4,111.4,-35.9,70.4,111.4,3135.5,3.9,5048557.7,39405083.2,,56630764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,
0247/041,1200 CALIFORNIA ST,1200 CALIFORNIA ST,94109,274702,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0247/041,,,,,41.5,46.4,-43,41.5,46.4,534,2.2,113876.2,9610299.9,,9998845.7,,44.2,48.5,-39.7,44.2,48.5,569.9,2.4,83019,10375800,,10659060.8,,42.9,48.7,-40.9,44.6,50.5,555.7,2.3,146978.8,9836499.6,,10337991.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0248/014A,1398 California St: Cannabis,1398 California St,94109,,Cannabis Business,,https://sfplanninggis.org/PIM/?tab=Property&search=0248/014A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Upcoming,,,,,,,,,,,,,,,,,,,
0249/007,1400 CALIFORNIA ST,1400 CALIFORNIA ST,94109,51677,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0249/007,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0250/001,200 San Francisco,1095 Hyde,94109,14943,Commercial,Supermarket/Grocery Store,https://sfplanninggis.org/PIM/?tab=Property&search=0250/001,1961,04/01/2021,Did Not Comply,99,116.4,325,-64.2,115.7,323.1,105.2,7,507591.9,7000,,1738903.9,,145,361.3,-60.5,142.8,355,138.6,9.3,523060.9,382600,,2167284.2,99,119.4,334.4,-63.4,119.4,334.4,125.7,8.4,522979.9,310,,1784717.7,95,190.5,431.2,-52.2,189,429.6,185.4,12.4,578391.9,873500,,2846973.4,93,202.1,467.6,-48.8,209.6,475.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,
0252/001,1201 CALIFORNIA ST,1201 CALIFORNIA ST,94109,188057,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0252/001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0252/016,1038 LEAVENWORTH ST,1038 LEAVENWORTH ST,94109,46634,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0252/016,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0252/021,1245 CALIFORNIA ST,1245 CALIFORNIA ST,94109,52800,Multifamily,,https://sfplanninggis.org/PIM/?tab=Property&search=0252/021,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0253A/001,1177 CALIFORNIA ST,1177 CALIFORNIA ST,94108,404560,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0253A/001,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0255/001,The Stanford Court,901 CALIFORNIA ST,94108,272122,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0255/001,1971,04/01/2025,,84,36.8,74.2,-29.1,36.8,74.2,632.5,2.3,1500142.9,144971,4744024.8,10007484.1,,,,,,,,,,,,,,77.9,159.5,-11.9,79.7,161.6,1388.4,5.1,3321554.8,1343743.7,8520233.2,21197123.3,,,,,,,,,,,,,66,74.7,160.2,-14.3,74.7,160.2,55,87.3,174.4,-4.7,-4.7,90.2,177.9,50,90.8,185.5,-1,92.1,186,47,93.4,187.1,1.9,96,188.8,79,49.4,138.9,-26.5,49.4,138.8,77,52.8,145,-24.2,53.2,146.199999999999,,,,,,,2021 - Complied,,2020 - Exempt,Vacancy,2019 - Complied,,2018 - Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,
0255/002,Mark Hopkins 2,999 California St,94108,360588,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0255/002,1926,04/01/2026,,98,56.4,96.7,-50.9,56.4,96.7,1298.9,3.6,1934611.8,983390.1,12758934.9,20343221.2,,21.4,54.2,-65.5,21.4,54.2,495.8,1.4,1918131.8,1166862.2,,7711528.8,88,77.7,131.9,-33.1,78.8,132.5,1863.6,5.2,2613941.4,2424367.8,16665940.9,28009077.9,82,82.1,145.6,-26.6,82.1,145.6,1976.9,5.5,3168618,2465777.5,16331532.1,29608635.7,75,81.8,153.1,-22,83.4,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,
0256/002,645 STOCKTON ST,645 STOCKTON ST,94108,101524,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0256/002,1928,,,75,77.1,96,-13.8,78.1,97.2,241.6,4.2,147235.6,3976770.1,,4479138,,75.8,96,-8.4,81.9,102.8,241.3,4.2,159664,3863729.5,,4408503.2,80,69.3,88.6,-17,71.6,91,223.1,3.8,153776.9,3504170,,4028856.7,,,,,,,235.6,4.1,144035.2,3784112.4,,4275560.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
0257/001,Chen Properties - 717 California Street,717 CALIFORNIA ST,94108,24166,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0257/001,1908,04/01/2027,,90,,,,,,,,139824.6,513590,,990671.5,,,,,,,,,,,,,,,,,,,,,,,,,87,47,116.8,-45,48,117.8,76.5,3.2,272594.9,206791,,1136884.7,86,51.2,141.5,-39.3,53.4,142.7,86,48.7,139.6,-39.2,-39.2,48.7,139.6,51,77.2,228.3,-2,77.5,226.9,,40.1,118.2,-20.1,40.3,116.2,,42.5,120.4,-18.6,42.2,119.3,,,,,,,,,,,,,2021 - Violation - Insufficient Data,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0257/012,Ritz Carlton San Francisco,600 STOCKTON ST,94108,423706,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0257/012,1908,04/01/2024,,95,55.8,105.3,-43.9,56.6,106.3,1456.5,3.4,3080751.7,3883900,9247697.9,23643123.9,,47.8,86,-53.9,50.6,89.4,1270.5,3,2375630.6,5451799.9,6680955,20238407.5,71,103.7,155.7,-17.4,105.4,157.7,2652.2,6.3,3053402.5,23094799.9,10416861.6,43929872.3,54,89.2,145.5,-3.4,88.8,145,2345.2,5.5,3414809.5,15952999.9,10197464,37801795.3,1,103,153.9,199.8,104.2,155.4,1,103.4,159.7,240.8,240.8,106.2,163,1,103.9,157.4,206,104.6,158.3,,,,,,,,,,,,,,,,,,,80,57.1,,-27.4,57.1,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Change in Ownership,Violation - Did Not Report,,Complied,
